a,b
aa,ab
aa,bb
Aix,Aia
Aix,Aaa
Aix,aaa
Sora,Sorb
Sora,Sobb
Sora,Sbbb
Sora,bbbb
Larus,Larub
Larus,Larbb
Larus,Labbb
Larus,Lbbbb
Larus,bbbbb
Loxops,Loxopa
Loxops,Loxoaa
Loxops,Loxaaa
Loxops,Loaaaa
Loxops,Laaaaa
Loxops,aaaaaa
Icterus,Icterua
Icterus,Icteraa
Icterus,Icteaaa
Icterus,Ictaaaa
Icterus,Icaaaaa
Icterus,Iaaaaaa
Icterus,aaaaaaa
rubripes,rubripea
rubripes,rubripaa
rubripes,rubriaaa
rubripes,rubraaaa
rubripes,rubaaaaa
rubripes,ruaaaaaa
rubripes,raaaaaaa
rubripes,aaaaaaaa
coccineus ,coccineusa
coccineus ,coccineuaa
coccineus ,coccineaaa
coccineus ,coccinaaaa
coccineus ,cocciaaaaa
coccineus ,coccaaaaaa
coccineus ,cocaaaaaaa
coccineus ,coaaaaaaaa
coccineus ,caaaaaaaaa
coccineus ,aaaaaaaaaa
sparverius,sparveriub
sparverius,sparveribb
sparverius,sparverbbb
sparverius,sparvebbbb
sparverius,sparvbbbbb
sparverius,sparbbbbbb
sparverius,spabbbbbbb
sparverius,spbbbbbbbb
sparverius,sbbbbbbbbb
sparverius,bbbbbbbbbb
cinerascens ,cinerascensb
cinerascens ,cinerascenbb
cinerascens ,cinerascebbb
cinerascens ,cinerascbbbb
cinerascens ,cinerasbbbbb
cinerascens ,cinerabbbbbb
cinerascens ,cinerbbbbbbb
cinerascens ,cinebbbbbbbb
cinerascens ,cinbbbbbbbbb
cinerascens ,cibbbbbbbbbb
cinerascens ,cbbbbbbbbbbb
cinerascens ,bbbbbbbbbbbb
Phylloscopus,Phylloscopua
Phylloscopus,Phylloscopaa
Phylloscopus,Phylloscoaaa
Phylloscopus,Phylloscaaaa
Phylloscopus,Phyllosaaaaa
Phylloscopus,Phylloaaaaaa
Phylloscopus,Phyllaaaaaaa
Phylloscopus,Phylaaaaaaaa
Phylloscopus,Phyaaaaaaaaa
Phylloscopus,Phaaaaaaaaaa
Phylloscopus,Paaaaaaaaaaa
Phylloscopus,aaaaaaaaaaaa
Gavia arctica,Gavia arcticb
Gavia arctica,Gavia arctibb
Gavia arctica,Gavia arctbbb
Gavia arctica,Gavia arcbbbb
Gavia arctica,Gavia arbbbbb
Gavia arctica,Gavia abbbbbb
