a
aa
Aix
Sora
Larus
Loxops
Icterus
rubripes
coccineus 
sparverius
cinerascens 
Phylloscopus
Gavia arctica
Larus belcheri
Riparia riparia
Mimus gundlachii
Limosa lapponicia
Ammodramus bairdii
Aimophila aestvalis
Puffinus lherminieri
Gygis alba White Tern
Artamus leiucorhynchus
Pelecanus conspicilatus
Haliaeetus leucocephalus
Tachycineta cyaneoviridis
Meleagris gallopavo Turkey
Synthliboramphus hypoleucus
Grus americana Whoping Crane
Anas discors Blue-winged Teal
Cepphus grylle Black Guillemot
Sterna anaethetus Bridled Terna
Molothrus aeneus Bronzed Cowbird
Spizella breweri Brewer's Sparrow
Streptopelia chiensis Spotted Dove
Buteo platypterus Broad-winged Hawk
Tiaris bicolor Black-faced Grassquit
Geotrygon mystacea Bridled Quail-Dove
Pelecanius occidientalis Brown Pelican
Icterus pectoralis Spot-breasted Oriole
Icterus pustulatus Streak-backed Orioole
Euphagus cyanocephalus Brewer's Blackbird
Hydrobates pelagicus British Storm-Petrael
Limicola falcinellus Broad-billed Sandpiper
Caloniectris leucoimelas Streaked Shearwater
Phalacrocorax penicillatus Brandt's Cormorant
Lampornis clemenciae Blue-throated Hummingbird
Cynanthus latiroistris Broad-billed Hummingbird
Selasphorus platycercus Broad-tailed Hummingbird
Amazilia yucataniensis Buff-beallied Hummingbeird
Stelgidopteryx ruficollis Southern wienged Swallow
